00:78:88:2C:80:10,-70
00:78:88:81:10:FF,-79
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-63
00:78:88:4F:06:60,-71
00:78:88:2E:72:2F,-82
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-79
00:C1:64:8A:85:80,-85
00:78:88:28:05:BF,-54
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-70
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-75
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-64
00:78:88:4F:06:60,-71
00:78:88:2E:72:2F,-82
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-79
00:C1:64:8A:85:80,-83
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-66
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-65
00:78:88:4F:06:60,-72
00:78:88:2E:72:2F,-83
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-80
00:C1:64:8A:85:80,-83
00:78:88:2B:53:10,-80
00:78:88:81:10:F0,-85
00:78:88:28:05:BF,-58
00:78:88:28:05:B0,-56
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-82
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-65
00:78:88:4F:06:60,-73
00:78:88:2E:72:2F,-84
00:C1:64:C3:84:70,-80
00:C1:64:8A:85:80,-84
00:78:88:2B:53:10,-82
00:78:88:81:10:F0,-85
00:78:88:28:05:BF,-58
00:78:88:28:05:B0,-54
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-80
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-66
00:78:88:4F:06:60,-72
00:78:88:2E:72:2F,-82
00:C1:64:C3:84:70,-80
00:C1:64:8A:85:80,-84
00:78:88:2B:53:10,-82
00:78:88:81:10:F0,-85
00:78:88:2B:53:1F,-78
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-56
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-80
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-64
00:78:88:4F:06:60,-71
00:78:88:2E:72:2F,-84
00:C1:64:C3:84:70,-80
00:C1:64:8A:85:80,-84
00:78:88:2B:53:10,-82
00:78:88:2B:53:1F,-78
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-55
00:78:88:2C:80:10,-69
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-65
00:78:88:4F:06:60,-71
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-80
00:78:88:2B:53:10,-79
00:78:88:2B:53:1F,-78
00:C1:64:F2:F3:50,-82
00:78:88:18:1D:20,-84
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-55
00:78:88:2C:80:10,-70
00:78:88:81:10:FF,-79
00:C1:64:8A:85:8F,-75
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-65
00:78:88:4F:06:60,-71
00:78:88:2E:72:2F,-81
00:C1:64:C3:84:70,-79
00:78:88:2B:53:10,-79
00:78:88:2B:53:1F,-78
00:C1:64:F2:F3:50,-82
00:78:88:18:1D:20,-84
00:78:88:28:05:BF,-54
00:78:88:28:05:B0,-55
00:78:88:2C:80:10,-67
00:78:88:81:10:FF,-79
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-64
00:78:88:4F:06:60,-73
00:78:88:2E:72:2F,-81
00:C1:64:C3:84:70,-79
00:78:88:2B:53:10,-79
00:C1:64:F2:F3:50,-82
00:78:88:18:1D:20,-84
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-67
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-64
00:78:88:4F:06:60,-73
00:78:88:2E:72:2F,-81
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-77
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-67
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-64
00:78:88:4F:06:60,-73
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-77
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-84
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-63
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-81
00:78:88:2B:53:10,-77
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-84
00:78:88:18:1D:20,-83
00:78:88:28:05:BF,-55
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-62
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-80
00:78:88:2B:53:10,-77
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-83
00:78:88:18:1D:20,-83
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-64
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-80
00:78:88:2B:53:10,-77
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-83
00:78:88:18:1D:20,-80
00:78:88:28:0F:90,-81
00:78:88:2B:53:1F,-79
00:78:88:28:05:BF,-55
00:78:88:28:05:B0,-59
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-80
00:78:88:2C:80:1F,-64
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-80
00:78:88:2B:53:10,-77
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-83
00:78:88:18:1D:20,-80
00:78:88:28:0F:90,-81
00:78:88:2B:53:1F,-79
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-59
00:78:88:2C:80:10,-69
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-78
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-65
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-83
00:78:88:2B:53:10,-77
00:78:88:2E:72:20,-87
00:C1:64:8A:85:80,-82
00:78:88:18:1D:20,-80
00:78:88:28:0F:90,-81
00:78:88:2B:53:1F,-79
00:78:88:4F:06:60,-75
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-59
00:78:88:2C:80:10,-69
00:78:88:81:10:FF,-81
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-77
00:78:88:2C:80:1F,-62
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-83
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-82
00:78:88:2B:53:1F,-79
00:78:88:4F:06:60,-75
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-67
00:78:88:81:10:FF,-82
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-63
00:78:88:2E:72:2F,-83
00:C1:64:C3:84:70,-83
00:78:88:2E:72:20,-86
00:C1:64:8A:85:80,-82
00:78:88:4F:06:60,-75
00:78:88:28:0F:90,-81
00:78:88:28:05:BF,-58
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-69
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-62
00:78:88:2E:72:2F,-83
00:78:88:2E:72:20,-85
00:C1:64:8A:85:80,-83
00:78:88:4F:06:60,-74
00:78:88:28:0F:90,-81
00:78:88:81:10:F0,-86
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-63
00:78:88:2E:72:2F,-83
00:78:88:2E:72:20,-85
00:C1:64:8A:85:80,-83
00:78:88:4F:06:60,-74
00:78:88:28:0F:90,-81
00:78:88:81:10:F0,-86
00:78:88:2B:53:10,-79
00:78:88:2B:53:1F,-80
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-67
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-63
00:78:88:2E:72:2F,-83
00:78:88:2E:72:20,-85
00:C1:64:8A:85:80,-83
00:78:88:4F:06:60,-74
00:78:88:81:10:F0,-86
00:78:88:2B:53:10,-79
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-82
00:78:88:18:1D:20,-84
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-67
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-75
00:78:88:4F:06:6F,-80
00:78:88:2C:80:1F,-62
00:78:88:2E:72:2F,-83
00:C1:64:8A:85:80,-83
00:78:88:2B:53:10,-78
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-82
00:78:88:18:1D:20,-84
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-68
00:78:88:81:10:FF,-83
00:C1:64:8A:85:8F,-75
00:78:88:4F:06:6F,-80
00:78:88:2C:80:1F,-63
00:78:88:2E:72:2F,-83
00:C1:64:8A:85:80,-81
00:78:88:2B:53:10,-78
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-81
00:78:88:18:1D:20,-84
00:78:88:28:0F:90,-80
00:78:88:2E:72:20,-86
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-67
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-80
00:78:88:2C:80:1F,-64
00:C1:64:8A:85:80,-83
00:78:88:2B:53:10,-78
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-81
00:78:88:28:0F:90,-80
00:78:88:2E:72:20,-86
00:78:88:28:05:BF,-59
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-66
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-64
00:C1:64:8A:85:80,-83
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-81
00:78:88:28:0F:90,-80
00:78:88:2E:72:20,-86
00:78:88:18:1D:20,-83
00:78:88:2E:72:2F,-82
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-67
00:C1:64:8A:85:8F,-78
00:78:88:4F:06:6F,-83
00:78:88:2C:80:1F,-63
00:C1:64:8A:85:80,-83
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-80
00:78:88:18:1D:20,-83
00:78:88:2E:72:2F,-83
00:78:88:81:10:F0,-85
00:78:88:28:05:BF,-54
00:78:88:28:05:B0,-53
00:78:88:2C:80:10,-65
00:C1:64:8A:85:8F,-78
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-65
00:78:88:2B:53:1F,-80
00:C1:64:C3:84:70,-81
00:78:88:18:1D:20,-83
00:78:88:2E:72:2F,-83
00:78:88:81:10:F0,-85
00:78:88:2E:72:20,-82
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-59
00:78:88:2C:80:10,-69
00:C1:64:8A:85:8F,-77
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-64
00:C1:64:C3:84:70,-79
00:78:88:2E:72:2F,-84
00:78:88:81:10:F0,-85
00:78:88:2E:72:20,-82
00:78:88:28:05:BF,-57
00:78:88:28:05:B0,-55
00:78:88:2C:80:10,-65
00:C1:64:8A:85:8F,-75
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-64
00:C1:64:C3:84:70,-79
00:78:88:2E:72:2F,-83
00:78:88:2E:72:20,-82
00:78:88:28:0F:90,-80
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-56
00:78:88:28:05:B0,-56
00:78:88:2C:80:10,-65
00:C1:64:8A:85:8F,-76
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-63
00:C1:64:C3:84:70,-79
00:78:88:2E:72:2F,-83
00:78:88:28:0F:90,-80
00:78:88:4F:06:60,-72
00:78:88:28:05:BF,-54
00:78:88:28:05:B0,-57
00:78:88:2C:80:10,-68
00:C1:64:8A:85:8F,-75
00:78:88:4F:06:6F,-78
00:78:88:2C:80:1F,-62
00:C1:64:C3:84:70,-77
00:78:88:2E:72:2F,-82
00:78:88:28:0F:90,-80
00:78:88:4F:06:60,-72
00:78:88:2E:72:20,-87
00:78:88:28:05:BF,-55
00:78:88:28:05:B0,-58
00:78:88:2C:80:10,-67
00:C1:64:8A:85:8F,-78
00:78:88:4F:06:6F,-79
00:78:88:2C:80:1F,-61
00:C1:64:C3:84:70,-79
00:78:88:2E:72:2F,-84
00:78:88:28:0F:90,-80
00:78:88:4F:06:60,-72
00:78:88:2E:72:20,-86
